match_id,odds_key,odds_value,source_file
76753107e6b79adfa7d0,IWA,1.27,2022-23.csv
76753107e6b79adfa7d0,PSH,11.2,2022-23.csv
76753107e6b79adfa7d0,PSD,6.22,2022-23.csv
76753107e6b79adfa7d0,PSA,1.28,2022-23.csv
76753107e6b79adfa7d0,WHH,12.0,2022-23.csv
76753107e6b79adfa7d0,WHD,5.5,2022-23.csv
76753107e6b79adfa7d0,WHA,1.27,2022-23.csv
76753107e6b79adfa7d0,VCH,13.0,2022-23.csv
76753107e6b79adfa7d0,VCD,6.0,2022-23.csv
76753107e6b79adfa7d0,VCA,1.25,2022-23.csv
76753107e6b79adfa7d0,MaxH,13.0,2022-23.csv
76753107e6b79adfa7d0,MaxD,6.4,2022-23.csv
76753107e6b79adfa7d0,MaxA,1.31,2022-23.csv
76753107e6b79adfa7d0,AvgH,10.99,2022-23.csv
76753107e6b79adfa7d0,AvgD,6.05,2022-23.csv
76753107e6b79adfa7d0,AvgA,1.28,2022-23.csv
76753107e6b79adfa7d0,B365>2.5,1.5,2022-23.csv
76753107e6b79adfa7d0,B365<2.5,2.62,2022-23.csv
76753107e6b79adfa7d0,P>2.5,1.5,2022-23.csv
76753107e6b79adfa7d0,P<2.5,2.7,2022-23.csv
76753107e6b79adfa7d0,Max>2.5,1.54,2022-23.csv
76753107e6b79adfa7d0,Max<2.5,2.76,2022-23.csv
76753107e6b79adfa7d0,Avg>2.5,1.48,2022-23.csv
76753107e6b79adfa7d0,Avg<2.5,2.63,2022-23.csv
76753107e6b79adfa7d0,AHh,1.75,2022-23.csv
76753107e6b79adfa7d0,B365AHH,1.9,2022-23.csv
76753107e6b79adfa7d0,B365AHA,2.03,2022-23.csv
76753107e6b79adfa7d0,PAHH,1.91,2022-23.csv
76753107e6b79adfa7d0,PAHA,2.0,2022-23.csv
76753107e6b79adfa7d0,MaxAHH,1.92,2022-23.csv
76753107e6b79adfa7d0,MaxAHA,2.04,2022-23.csv
76753107e6b79adfa7d0,AvgAHH,1.89,2022-23.csv
76753107e6b79adfa7d0,AvgAHA,1.99,2022-23.csv
76753107e6b79adfa7d0,B365CH,11.0,2022-23.csv
76753107e6b79adfa7d0,B365CD,5.75,2022-23.csv
76753107e6b79adfa7d0,B365CA,1.28,2022-23.csv
76753107e6b79adfa7d0,BWCH,9.25,2022-23.csv
76753107e6b79adfa7d0,BWCD,6.0,2022-23.csv
76753107e6b79adfa7d0,BWCA,1.29,2022-23.csv
76753107e6b79adfa7d0,IWCH,11.0,2022-23.csv
76753107e6b79adfa7d0,IWCD,5.5,2022-23.csv
76753107e6b79adfa7d0,IWCA,1.3,2022-23.csv
76753107e6b79adfa7d0,PSCH,10.5,2022-23.csv
76753107e6b79adfa7d0,PSCD,6.5,2022-23.csv
76753107e6b79adfa7d0,PSCA,1.29,2022-23.csv
76753107e6b79adfa7d0,WHCH,11.0,2022-23.csv
76753107e6b79adfa7d0,WHCD,5.5,2022-23.csv
76753107e6b79adfa7d0,WHCA,1.27,2022-23.csv
76753107e6b79adfa7d0,VCCH,11.5,2022-23.csv
76753107e6b79adfa7d0,VCCD,6.0,2022-23.csv
76753107e6b79adfa7d0,VCCA,1.29,2022-23.csv
76753107e6b79adfa7d0,MaxCH,11.95,2022-23.csv
76753107e6b79adfa7d0,MaxCD,6.93,2022-23.csv
76753107e6b79adfa7d0,MaxCA,1.3,2022-23.csv
76753107e6b79adfa7d0,AvgCH,10.33,2022-23.csv
76753107e6b79adfa7d0,AvgCD,6.2,2022-23.csv
76753107e6b79adfa7d0,AvgCA,1.28,2022-23.csv
76753107e6b79adfa7d0,B365C>2.5,1.5,2022-23.csv
76753107e6b79adfa7d0,B365C<2.5,2.62,2022-23.csv
76753107e6b79adfa7d0,PC>2.5,1.49,2022-23.csv
76753107e6b79adfa7d0,PC<2.5,2.77,2022-23.csv
76753107e6b79adfa7d0,MaxC>2.5,1.51,2022-23.csv
76753107e6b79adfa7d0,MaxC<2.5,3.0,2022-23.csv
76753107e6b79adfa7d0,AvgC>2.5,1.47,2022-23.csv
76753107e6b79adfa7d0,AvgC<2.5,2.73,2022-23.csv
76753107e6b79adfa7d0,AHCh,1.75,2022-23.csv
76753107e6b79adfa7d0,B365CAHH,1.9,2022-23.csv
76753107e6b79adfa7d0,B365CAHA,2.03,2022-23.csv
76753107e6b79adfa7d0,PCAHH,1.91,2022-23.csv
76753107e6b79adfa7d0,PCAHA,2.02,2022-23.csv
76753107e6b79adfa7d0,MaxCAHH,2.01,2022-23.csv
76753107e6b79adfa7d0,MaxCAHA,2.06,2022-23.csv
76753107e6b79adfa7d0,AvgCAHH,1.89,2022-23.csv
76753107e6b79adfa7d0,AvgCAHA,1.99,2022-23.csv
49daf8f728a59f92ff13,B365H,3.75,2022-23.csv
49daf8f728a59f92ff13,B365D,3.5,2022-23.csv
49daf8f728a59f92ff13,B365A,2.0,2022-23.csv
49daf8f728a59f92ff13,BWH,3.75,2022-23.csv
49daf8f728a59f92ff13,BWD,3.4,2022-23.csv
49daf8f728a59f92ff13,BWA,2.0,2022-23.csv
49daf8f728a59f92ff13,IWH,3.65,2022-23.csv
49daf8f728a59f92ff13,IWD,3.45,2022-23.csv
49daf8f728a59f92ff13,IWA,2.05,2022-23.csv
49daf8f728a59f92ff13,PSH,3.93,2022-23.csv
49daf8f728a59f92ff13,PSD,3.58,2022-23.csv
49daf8f728a59f92ff13,PSA,2.04,2022-23.csv
49daf8f728a59f92ff13,WHH,3.75,2022-23.csv
49daf8f728a59f92ff13,WHD,3.3,2022-23.csv
49daf8f728a59f92ff13,WHA,2.05,2022-23.csv
49daf8f728a59f92ff13,VCH,3.75,2022-23.csv
49daf8f728a59f92ff13,VCD,3.3,2022-23.csv
49daf8f728a59f92ff13,VCA,2.0,2022-23.csv
49daf8f728a59f92ff13,MaxH,4.0,2022-23.csv
49daf8f728a59f92ff13,MaxD,3.66,2022-23.csv
49daf8f728a59f92ff13,MaxA,2.1,2022-23.csv
49daf8f728a59f92ff13,AvgH,3.8,2022-23.csv
49daf8f728a59f92ff13,AvgD,3.5,2022-23.csv
49daf8f728a59f92ff13,AvgA,2.04,2022-23.csv
49daf8f728a59f92ff13,B365>2.5,2.0,2022-23.csv
49daf8f728a59f92ff13,B365<2.5,1.8,2022-23.csv
49daf8f728a59f92ff13,P>2.5,2.1,2022-23.csv
49daf8f728a59f92ff13,P<2.5,1.81,2022-23.csv
49daf8f728a59f92ff13,Max>2.5,2.1,2022-23.csv
49daf8f728a59f92ff13,Max<2.5,1.87,2022-23.csv
49daf8f728a59f92ff13,Avg>2.5,2.03,2022-23.csv
49daf8f728a59f92ff13,Avg<2.5,1.8,2022-23.csv
49daf8f728a59f92ff13,AHh,0.5,2022-23.csv
49daf8f728a59f92ff13,B365AHH,1.87,2022-23.csv
49daf8f728a59f92ff13,B365AHA,2.06,2022-23.csv
49daf8f728a59f92ff13,PAHH,1.88,2022-23.csv
49daf8f728a59f92ff13,PAHA,2.04,2022-23.csv
49daf8f728a59f92ff13,MaxAHH,1.88,2022-23.csv
49daf8f728a59f92ff13,MaxAHA,2.07,2022-23.csv
49daf8f728a59f92ff13,AvgAHH,1.85,2022-23.csv
49daf8f728a59f92ff13,AvgAHA,2.04,2022-23.csv
49daf8f728a59f92ff13,B365CH,4.0,2022-23.csv
49daf8f728a59f92ff13,B365CD,3.5,2022-23.csv
49daf8f728a59f92ff13,B365CA,1.95,2022-23.csv
49daf8f728a59f92ff13,BWCH,3.9,2022-23.csv
49daf8f728a59f92ff13,BWCD,3.4,2022-23.csv
49daf8f728a59f92ff13,BWCA,1.95,2022-23.csv
49daf8f728a59f92ff13,IWCH,3.85,2022-23.csv
49daf8f728a59f92ff13,IWCD,3.45,2022-23.csv
49daf8f728a59f92ff13,IWCA,2.0,2022-23.csv
49daf8f728a59f92ff13,PSCH,4.09,2022-23.csv
49daf8f728a59f92ff13,PSCD,3.59,2022-23.csv
49daf8f728a59f92ff13,PSCA,2.0,2022-23.csv
49daf8f728a59f92ff13,WHCH,4.0,2022-23.csv
49daf8f728a59f92ff13,WHCD,3.4,2022-23.csv
49daf8f728a59f92ff13,WHCA,1.95,2022-23.csv
49daf8f728a59f92ff13,VCCH,4.1,2022-23.csv
49daf8f728a59f92ff13,VCCD,3.4,2022-23.csv
49daf8f728a59f92ff13,VCCA,2.0,2022-23.csv
49daf8f728a59f92ff13,MaxCH,4.25,2022-23.csv
49daf8f728a59f92ff13,MaxCD,3.63,2022-23.csv
49daf8f728a59f92ff13,MaxCA,2.06,2022-23.csv
49daf8f728a59f92ff13,AvgCH,3.99,2022-23.csv
49daf8f728a59f92ff13,AvgCD,3.49,2022-23.csv
49daf8f728a59f92ff13,AvgCA,2.0,2022-23.csv
49daf8f728a59f92ff13,B365C>2.5,2.1,2022-23.csv
49daf8f728a59f92ff13,B365C<2.5,1.72,2022-23.csv
49daf8f728a59f92ff13,PC>2.5,2.13,2022-23.csv
49daf8f728a59f92ff13,PC<2.5,1.79,2022-23.csv
49daf8f728a59f92ff13,MaxC>2.5,2.24,2022-23.csv
49daf8f728a59f92ff13,MaxC<2.5,1.81,2022-23.csv
49daf8f728a59f92ff13,AvgC>2.5,2.1,2022-23.csv
49daf8f728a59f92ff13,AvgC<2.5,1.76,2022-23.csv
49daf8f728a59f92ff13,AHCh,0.5,2022-23.csv
49daf8f728a59f92ff13,B365CAHH,1.93,2022-23.csv
49daf8f728a59f92ff13,B365CAHA,2.0,2022-23.csv
49daf8f728a59f92ff13,PCAHH,1.93,2022-23.csv
49daf8f728a59f92ff13,PCAHA,2.0,2022-23.csv
49daf8f728a59f92ff13,MaxCAHH,1.94,2022-23.csv
49daf8f728a59f92ff13,MaxCAHA,2.04,2022-23.csv
49daf8f728a59f92ff13,AvgCAHH,1.88,2022-23.csv
49daf8f728a59f92ff13,AvgCAHA,2.0,2022-23.csv
12a3ad05307d9c73abed,B365H,2.25,2022-23.csv
12a3ad05307d9c73abed,B365D,3.4,2022-23.csv
12a3ad05307d9c73abed,B365A,3.2,2022-23.csv
12a3ad05307d9c73abed,BWH,2.3,2022-23.csv
12a3ad05307d9c73abed,BWD,3.3,2022-23.csv
12a3ad05307d9c73abed,BWA,2.95,2022-23.csv
12a3ad05307d9c73abed,IWH,2.3,2022-23.csv
12a3ad05307d9c73abed,IWD,3.3,2022-23.csv
12a3ad05307d9c73abed,IWA,3.15,2022-23.csv
12a3ad05307d9c73abed,PSH,2.39,2022-23.csv
12a3ad05307d9c73abed,PSD,3.33,2022-23.csv
12a3ad05307d9c73abed,PSA,3.3,2022-23.csv
12a3ad05307d9c73abed,WHH,2.25,2022-23.csv
12a3ad05307d9c73abed,WHD,3.3,2022-23.csv
12a3ad05307d9c73abed,WHA,3.2,2022-23.csv
12a3ad05307d9c73abed,VCH,2.3,2022-23.csv
12a3ad05307d9c73abed,VCD,3.2,2022-23.csv
12a3ad05307d9c73abed,VCA,3.1,2022-23.csv
12a3ad05307d9c73abed,MaxH,2.42,2022-23.csv
12a3ad05307d9c73abed,MaxD,3.54,2022-23.csv
12a3ad05307d9c73abed,MaxA,3.3,2022-23.csv
12a3ad05307d9c73abed,AvgH,2.34,2022-23.csv
12a3ad05307d9c73abed,AvgD,3.34,2022-23.csv
12a3ad05307d9c73abed,AvgA,3.18,2022-23.csv
12a3ad05307d9c73abed,B365>2.5,2.05,2022-23.csv
12a3ad05307d9c73abed,B365<2.5,1.85,2022-23.csv
12a3ad05307d9c73abed,P>2.5,2.09,2022-23.csv
12a3ad05307d9c73abed,P<2.5,1.83,2022-23.csv
12a3ad05307d9c73abed,Max>2.5,2.11,2022-23.csv
12a3ad05307d9c73abed,Max<2.5,1.87,2022-23.csv
12a3ad05307d9c73abed,Avg>2.5,2.03,2022-23.csv
12a3ad05307d9c73abed,Avg<2.5,1.81,2022-23.csv
12a3ad05307d9c73abed,AHh,-0.25,2022-23.csv
12a3ad05307d9c73abed,B365AHH,2.05,2022-23.csv
12a3ad05307d9c73abed,B365AHA,1.88,2022-23.csv
12a3ad05307d9c73abed,PAHH,2.04,2022-23.csv
12a3ad05307d9c73abed,PAHA,1.89,2022-23.csv
12a3ad05307d9c73abed,MaxAHH,2.06,2022-23.csv
12a3ad05307d9c73abed,MaxAHA,1.9,2022-23.csv
12a3ad05307d9c73abed,AvgAHH,2.01,2022-23.csv
12a3ad05307d9c73abed,AvgAHA,1.87,2022-23.csv
12a3ad05307d9c73abed,B365CH,2.37,2022-23.csv
12a3ad05307d9c73abed,B365CD,3.3,2022-23.csv
12a3ad05307d9c73abed,B365CA,3.0,2022-23.csv
12a3ad05307d9c73abed,BWCH,2.4,2022-23.csv
12a3ad05307d9c73abed,BWCD,3.3,2022-23.csv
12a3ad05307d9c73abed,BWCA,2.75,2022-23.csv
12a3ad05307d9c73abed,IWCH,2.45,2022-23.csv
12a3ad05307d9c73abed,IWCD,3.3,2022-23.csv
12a3ad05307d9c73abed,IWCA,2.95,2022-23.csv
12a3ad05307d9c73abed,PSCH,2.45,2022-23.csv
12a3ad05307d9c73abed,PSCD,3.44,2022-23.csv
12a3ad05307d9c73abed,PSCA,3.09,2022-23.csv
12a3ad05307d9c73abed,WHCH,2.4,2022-23.csv
12a3ad05307d9c73abed,WHCD,3.3,2022-23.csv
12a3ad05307d9c73abed,WHCA,2.9,2022-23.csv
12a3ad05307d9c73abed,VCCH,2.4,2022-23.csv
12a3ad05307d9c73abed,VCCD,3.4,2022-23.csv
12a3ad05307d9c73abed,VCCA,3.0,2022-23.csv
12a3ad05307d9c73abed,MaxCH,2.5,2022-23.csv
12a3ad05307d9c73abed,MaxCD,3.55,2022-23.csv
12a3ad05307d9c73abed,MaxCA,3.18,2022-23.csv
12a3ad05307d9c73abed,AvgCH,2.43,2022-23.csv
12a3ad05307d9c73abed,AvgCD,3.36,2022-23.csv
12a3ad05307d9c73abed,AvgCA,3.02,2022-23.csv
12a3ad05307d9c73abed,B365C>2.5,1.95,2022-23.csv
12a3ad05307d9c73abed,B365C<2.5,1.95,2022-23.csv
12a3ad05307d9c73abed,PC>2.5,1.96,2022-23.csv
12a3ad05307d9c73abed,PC<2.5,1.94,2022-23.csv
12a3ad05307d9c73abed,MaxC>2.5,2.09,2022-23.csv
