season,referee,matches,fouls_avg,home_fouls_avg,away_fouls_avg,yellow_avg,home_yellow_avg,away_yellow_avg,red_avg
2022-23,A Madley,24,22.708333333333332,10.625,12.083333333333334,3.4583333333333335,1.4166666666666667,2.0416666666666665,0.125
2022-23,A Marriner,13,19.153846153846153,9.692307692307692,9.461538461538462,3.5384615384615383,2.076923076923077,1.4615384615384615,0.15384615384615385
2022-23,A Taylor,30,19.833333333333332,9.8,10.033333333333333,3.7666666666666666,2.0,1.7666666666666666,0.1
2022-23,C Kavanagh,13,20.692307692307693,10.307692307692308,10.384615384615385,3.0,1.0,2.0,0.0
2022-23,C Pawson,21,23.904761904761905,11.285714285714286,12.619047619047619,3.761904761904762,2.0476190476190474,1.7142857142857142,0.047619047619047616
2022-23,D Bond,4,19.75,10.75,9.0,4.0,1.25,2.75,0.25
2022-23,D Coote,21,23.428571428571427,11.238095238095237,12.19047619047619,3.6666666666666665,1.7142857142857142,1.9523809523809523,0.14285714285714285
2022-23,D England,18,21.166666666666668,10.166666666666666,11.0,3.5555555555555554,1.2777777777777777,2.2777777777777777,0.1111111111111111
2022-23,G Scott,6,19.833333333333332,9.666666666666666,10.166666666666666,2.1666666666666665,1.5,0.6666666666666666,0.3333333333333333
2022-23,J Brooks,19,22.105263157894736,10.263157894736842,11.842105263157896,4.2631578947368425,2.0,2.263157894736842,0.05263157894736842
2022-23,J Gillett,17,18.0,9.294117647058824,8.705882352941176,2.6470588235294117,1.4705882352941178,1.1764705882352942,0.058823529411764705
2022-23,J Smith,1,25.0,13.0,12.0,3.0,3.0,0.0,0.0
2022-23,M Oliver,30,21.033333333333335,11.0,10.033333333333333,2.9,1.7333333333333334,1.1666666666666667,0.03333333333333333
2022-23,M Salisbury,15,23.333333333333332,12.333333333333334,11.0,4.333333333333333,2.0,2.3333333333333335,0.13333333333333333
2022-23,P Bankes,21,23.0,10.952380952380953,12.047619047619047,4.333333333333333,1.6666666666666667,2.6666666666666665,0.0
2022-23,P Tierney,30,20.966666666666665,10.7,10.266666666666667,3.8,1.9,1.9,0.06666666666666667
2022-23,R Jones,26,22.807692307692307,10.961538461538462,11.846153846153847,4.038461538461538,1.6923076923076923,2.3461538461538463,0.0
2022-23,R Madley,1,27.0,10.0,17.0,6.0,3.0,3.0,1.0
2022-23,S Attwell,25,20.12,10.48,9.64,3.24,1.28,1.96,0.08
2022-23,S Hooper,29,20.655172413793103,10.137931034482758,10.517241379310345,3.413793103448276,1.3793103448275863,2.0344827586206895,0.034482758620689655
2022-23,T Bramall,8,24.375,11.5,12.875,3.0,1.5,1.5,0.0
2022-23,T Harrington,6,22.0,10.5,11.5,3.8333333333333335,1.6666666666666667,2.1666666666666665,0.0
2022-23,T Robinson,2,28.5,11.5,17.0,4.5,2.0,2.5,0.0
2023-24,A Madley,23,22.782608695652176,10.304347826086957,12.478260869565217,3.782608695652174,1.608695652173913,2.1739130434782608,0.08695652173913043
2023-24,A Taylor,27,21.185185185185187,9.814814814814815,11.37037037037037,4.703703703703703,2.1481481481481484,2.5555555555555554,0.14814814814814814
2023-24,C Kavanagh,20,21.65,10.45,11.2,3.9,1.7,2.2,0.2
2023-24,C Pawson,19,21.894736842105264,10.631578947368421,11.263157894736842,4.315789473684211,1.736842105263158,2.5789473684210527,0.15789473684210525
2023-24,D Bond,5,20.8,11.2,9.6,4.4,1.8,2.6,0.4
2023-24,D Coote,16,24.75,12.5625,12.1875,5.125,2.3125,2.8125,0.1875
2023-24,D England,12,22.25,10.833333333333334,11.416666666666666,4.75,2.0833333333333335,2.6666666666666665,0.08333333333333333
2023-24,G Scott,6,17.5,8.5,9.0,2.8333333333333335,1.5,1.3333333333333333,0.0
2023-24,J Brooks,22,21.818181818181817,11.181818181818182,10.636363636363637,4.0,2.272727272727273,1.7272727272727273,0.18181818181818182
2023-24,J Gillett,21,20.761904761904763,11.333333333333334,9.428571428571429,4.428571428571429,2.380952380952381,2.0476190476190474,0.047619047619047616
2023-24,J Smith,4,23.25,11.0,12.25,3.75,2.25,1.5,0.5
2023-24,L Smith,2,19.0,9.5,9.5,5.5,4.0,1.5,0.5
2023-24,M Donohue,2,31.5,15.5,16.0,6.5,3.5,3.0,0.0
2023-24,M Oliver,24,21.125,9.791666666666666,11.333333333333334,3.9166666666666665,1.7083333333333333,2.2083333333333335,0.20833333333333334
2023-24,M Salisbury,14,23.714285714285715,11.142857142857142,12.571428571428571,3.857142857142857,1.8571428571428572,2.0,0.21428571428571427
2023-24,P Bankes,10,21.3,9.7,11.6,4.9,2.3,2.6,0.1
2023-24,P Tierney,25,21.76,10.64,11.12,3.44,1.48,1.96,0.12
2023-24,R Jones,22,23.09090909090909,11.954545454545455,11.136363636363637,4.2727272727272725,1.6363636363636365,2.6363636363636362,0.22727272727272727
2023-24,R Madley,1,19.0,6.0,13.0,3.0,1.0,2.0,0.0
2023-24,R Welch,2,26.5,12.0,14.5,4.0,2.5,1.5,0.5
2023-24,S Allison,3,25.333333333333332,13.0,12.333333333333334,3.6666666666666665,2.3333333333333335,1.3333333333333333,0.0
2023-24,S Attwell,17,20.705882352941178,9.411764705882353,11.294117647058824,4.294117647058823,2.2941176470588234,2.0,0.23529411764705882
2023-24,S Barrott,15,20.133333333333333,9.333333333333334,10.8,3.1333333333333333,1.4,1.7333333333333334,0.06666666666666667
2023-24,S Hooper,25,22.36,10.88,11.48,4.4,1.76,2.64,0.12
2023-24,S Singh,1,31.0,20.0,11.0,5.0,2.0,3.0,0.0
2023-24,T Bramall,11,24.636363636363637,10.909090909090908,13.727272727272727,4.909090909090909,2.090909090909091,2.8181818181818183,0.2727272727272727
2023-24,T Harrington,10,21.7,9.7,12.0,3.7,1.8,1.9,0.1
2023-24,T Robinson,21,23.047619047619047,12.333333333333334,10.714285714285714,4.238095238095238,1.7619047619047619,2.4761904761904763,0.0
2024-25,A Kitchen,2,27.0,14.5,12.5,2.0,1.5,0.5,0.0
2024-25,A Madley,20,23.2,11.05,12.15,4.3,1.85,2.45,0.05
2024-25,A Taylor,30,21.366666666666667,10.6,10.766666666666667,2.933333333333333,1.3333333333333333,1.6,0.2
2024-25,C Kavanagh,24,21.041666666666668,10.666666666666666,10.375,4.0,2.125,1.875,0.20833333333333334
2024-25,C Pawson,22,22.59090909090909,10.954545454545455,11.636363636363637,4.2727272727272725,1.9545454545454546,2.3181818181818183,0.13636363636363635
2024-25,D Bond,14,22.285714285714285,11.0,11.285714285714286,3.9285714285714284,1.7857142857142858,2.142857142857143,0.07142857142857142
2024-25,D Coote,6,23.833333333333332,11.666666666666666,12.166666666666666,5.0,2.6666666666666665,2.3333333333333335,0.0
2024-25,D England,19,22.94736842105263,10.421052631578947,12.526315789473685,4.157894736842105,1.6842105263157894,2.473684210526316,0.21052631578947367
2024-25,D Webb,2,23.5,13.0,10.5,3.5,1.0,2.5,0.0
2024-25,J Brooks,17,22.294117647058822,11.0,11.294117647058824,5.0588235294117645,2.823529411764706,2.235294117647059,0.058823529411764705
2024-25,J Gillett,16,22.0625,9.9375,12.125,4.25,1.875,2.375,0.0
2024-25,J Smith,3,19.666666666666668,10.0,9.666666666666666,4.333333333333333,2.0,2.3333333333333335,0.0
2024-25,K Kavanagh,1,27.0,12.0,15.0,3.0,1.0,2.0,0.0
2024-25,L Smith,7,25.285714285714285,12.714285714285714,12.571428571428571,3.7142857142857144,1.5714285714285714,2.142857142857143,0.14285714285714285
2024-25,M Oliver,25,23.16,11.64,11.52,4.32,1.8,2.52,0.2
2024-25,M Salisbury,15,21.866666666666667,9.933333333333334,11.933333333333334,2.8666666666666667,1.4666666666666666,1.4,0.2
2024-25,O Oliver,1,21.0,11.0,10.0,5.0,3.0,2.0,0.0
2024-25,P Bankes,23,20.08695652173913,10.0,10.08695652173913,3.6956521739130435,1.8695652173913044,1.826086956521739,0.13043478260869565
2024-25,R Jones,22,24.818181818181817,11.5,13.318181818181818,4.2272727272727275,1.7727272727272727,2.4545454545454546,0.18181818181818182
2024-25,S Allison,1,32.0,16.0,16.0,8.0,4.0,4.0,0.0
2024-25,S Attwell,19,20.473684210526315,11.052631578947368,9.421052631578947,3.789473684210526,1.8421052631578947,1.9473684210526316,0.15789473684210525
2024-25,S Barrott,23,21.130434782608695,11.08695652173913,10.043478260869565,4.608695652173913,2.0869565217391304,2.5217391304347827,0.043478260869565216
2024-25,S Hooper,23,19.652173913043477,9.478260869565217,10.173913043478262,4.695652173913044,2.391304347826087,2.3043478260869565,0.08695652173913043
2024-25,T Bramall,11,20.454545454545453,10.545454545454545,9.909090909090908,3.272727272727273,1.6363636363636365,1.6363636363636365,0.36363636363636365
2024-25,T Harrington,18,22.61111111111111,10.833333333333334,11.777777777777779,4.0,1.7777777777777777,2.2222222222222223,0.16666666666666666
2024-25,T Robinson,16,22.75,10.375,12.375,4.25,2.1875,2.0625,0.125
2025-26,A Kitchen,4,23.25,11.0,12.25,3.75,2.0,1.75,0.0
2025-26,A Madley,21,22.857142857142858,11.19047619047619,11.666666666666666,3.238095238095238,1.5238095238095237,1.7142857142857142,0.19047619047619047
2025-26,A Taylor,31,20.483870967741936,10.451612903225806,10.03225806451613,3.935483870967742,1.8064516129032258,2.129032258064516,0.06451612903225806
2025-26,C Kavanagh,30,22.466666666666665,10.566666666666666,11.9,3.966666666666667,1.8333333333333333,2.1333333333333333,0.1
2025-26,C Pawson,21,21.714285714285715,11.19047619047619,10.523809523809524,2.6666666666666665,1.1904761904761905,1.4761904761904763,0.09523809523809523
2025-26,D England,23,22.043478260869566,11.391304347826088,10.652173913043478,4.304347826086956,2.0,2.3043478260869565,0.13043478260869565
2025-26,F Hallam,5,21.8,10.2,11.6,2.6,1.0,1.6,0.0
2025-26,J Brooks,12,20.916666666666668,9.333333333333334,11.583333333333334,3.6666666666666665,1.75,1.9166666666666667,0.25
2025-26,J Gillett,22,19.772727272727273,9.681818181818182,10.090909090909092,3.590909090909091,1.7727272727272727,1.8181818181818181,0.045454545454545456
2025-26,L Smith,1,24.0,13.0,11.0,4.0,2.0,2.0,1.0
2025-26,M Donohue,3,26.333333333333332,13.0,13.333333333333334,5.0,2.0,3.0,0.0
2025-26,M Oliver,29,22.724137931034484,11.344827586206897,11.379310344827585,3.1724137931034484,1.3103448275862069,1.8620689655172413,0.06896551724137931
2025-26,M Salisbury,14,21.928571428571427,10.714285714285714,11.214285714285714,4.357142857142857,2.2857142857142856,2.0714285714285716,0.0
2025-26,P Bankes,22,22.454545454545453,11.227272727272727,11.227272727272727,3.8181818181818183,1.5,2.3181818181818183,0.18181818181818182
2025-26,P Tierney,12,20.166666666666668,9.583333333333334,10.583333333333334,3.3333333333333335,1.4166666666666667,1.9166666666666667,0.16666666666666666
2025-26,R Jones,18,21.055555555555557,9.5,11.555555555555555,4.166666666666667,1.9444444444444444,2.2222222222222223,0.0
2025-26,S Attwell,25,21.72,11.08,10.64,4.6,2.08,2.52,0.08
2025-26,S Barrott,24,19.333333333333332,9.958333333333334,9.375,3.7083333333333335,1.5416666666666667,2.1666666666666665,0.041666666666666664
2025-26,S Hooper,15,23.333333333333332,11.2,12.133333333333333,4.0,1.5333333333333334,2.466666666666667,0.13333333333333333
2025-26,T Bramall,22,21.5,9.5,12.0,4.045454545454546,1.5909090909090908,2.4545454545454546,0.09090909090909091
2025-26,T Harrington,11,20.0,10.909090909090908,9.090909090909092,3.0,1.4545454545454546,1.5454545454545454,0.09090909090909091
2025-26,T Kirk,6,24.0,12.666666666666666,11.333333333333334,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.5
2025-26,T Robinson,9,22.88888888888889,11.333333333333334,11.555555555555555,4.0,1.3333333333333333,2.6666666666666665,0.1111111111111111
2026-27,D England,1,19.0,10.0,9.0,3.0,2.0,1.0,0.0
2026-27,F Hallam,1,26.0,12.0,14.0,3.0,0.0,3.0,0.0
2026-27,J Brooks,1,19.0,12.0,7.0,5.0,2.0,3.0,0.0
2026-27,J Gillett,1,22.0,11.0,11.0,3.0,1.0,2.0,0.0
2026-27,M Oliver,1,31.0,17.0,14.0,2.0,1.0,1.0,0.0
2026-27,P Bankes,1,23.0,12.0,11.0,5.0,2.0,3.0,1.0
2026-27,P Tierney,1,20.0,5.0,15.0,1.0,0.0,1.0,0.0
2026-27,R Jones,1,29.0,15.0,14.0,3.0,2.0,1.0,0.0
2026-27,S Attwell,1,31.0,16.0,15.0,8.0,5.0,3.0,0.0
2026-27,T Bramall,1,23.0,10.0,13.0,2.0,1.0,1.0,0.0
